CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKBOSCHLTD30-JUN-2026,40180.0000000,40880.0000000,40880.0000000,39810.0000000,39975.0000000,39900.0000000,-0.6900000,853.0000000,34275.0000000,1371.0000000,1372170250.0000000
FUTSTKBOSCHLTD28-JUL-2026,40255.0000000,40800.0000000,40895.0000000,40015.0000000,40195.0000000,40195.0000000,-0.1400000,9992.0000000,48825.0000000,1953.0000000,1965751750.0000000
FUTSTKBOSCHLTD25-AUG-2026,40085.0000000,40815.0000000,40815.0000000,40040.0000000,40155.0000000,40155.0000000,0.1700000,248.0000000,625.0000000,25.0000000,25131000.0000000
FUTSTKCROMPTON25-AUG-2026,274.0500000,274.2500000,277.0000000,270.1000000,275.0500000,275.0500000,0.3600000,328.0000000,275200.0000000,128.0000000,75330840.0000000
FUTSTKCROMPTON30-JUN-2026,272.8000000,274.9500000,277.7000000,269.9000000,275.0500000,274.7500000,0.7100000,454.0000000,10261800.0000000,5701.0000000,2810247570.0000000
FUTSTKCROMPTON28-JUL-2026,271.4500000,273.0000000,276.2500000,268.3500000,273.8000000,273.8000000,0.8600000,23565.0000000,13134350.0000000,6109.0000000,3580218485.0000000
FUTSTKDIVISLAB30-JUN-2026,6566.0000000,6556.0000000,6649.5000000,6543.0000000,6582.0000000,6579.0000000,0.1900000,1617.0000000,670500.0000000,6705.0000000,4414157650.0000000
FUTSTKDIVISLAB25-AUG-2026,6620.5000000,6676.0000000,6689.5000000,6605.0000000,6642.0000000,6642.0000000,0.3200000,150.0000000,7400.0000000,74.0000000,49128300.0000000
FUTSTKDIVISLAB28-JUL-2026,6578.0000000,6573.0000000,6666.0000000,6552.0000000,6604.0000000,6604.0000000,0.3900000,32995.0000000,1029500.0000000,10295.0000000,6794833850.0000000
FUTSTKGVT&D25-AUG-2026,5009.0000000,4948.0000000,5084.0000000,4948.0000000,4998.0000000,4998.0000000,-0.2100000,977.0000000,2750.0000000,22.0000000,13819937.5000000
