SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NATIONALUM","334.05","350.65","334.05","332.15","346.50","-","14.35","4.32","37724734","1,300.03","445.15","179.93","-18.15","82.05"
"VEDL","270.50","287.40","270.50","273.45","285.00","-","11.55","4.22","57647547","1,617.30","795.00","268.70","-19.3","-38.64"
"KEI","5,294.00","5,600.00","5,155.00","5,268.00","5,475.00","-","207","3.93","1621316","874.53","5,708.00","3,601.10","3.5","44.23"
"TORNTPHARM","4,516.20","4,742.90","4,506.10","4,516.20","4,648.90","-","132.7","2.94","2069992","959.36","4,742.90","3,165.00","5.6","39.39"
"BHEL","402.70","416.40","393.85","402.70","413.90","-","11.2","2.78","45313478","1,861.66","424.90","205.12","-0.72","56.66"
"NHPC","78.52","82.10","78.44","79.40","81.61","-","2.21","2.78","85760641","693.98","89.75","71.62","3.42","-4.65"
"POLYCAB","9,664.00","9,972.00","9,420.50","9,531.00","9,790.00","-","259","2.72","1261915","1,226.00","10,126.00","6,346.00","3.18","50.77"
"LAURUSLABS","1,450.00","1,531.20","1,450.00","1,450.00","1,487.60","-","37.6","2.59","12321744","1,839.24","1,531.20","663.05","10.15","113.78"
"MCX","2,822.00","2,940.00","2,809.00","2,831.70","2,905.00","-","73.3","2.59","8791691","2,538.42","3,480.00","1,460.80","-1.35","-67.09"
"BHARATFORG","2,145.30","2,238.00","2,096.10","2,145.30","2,199.40","-","54.1","2.52","7505450","1,615.44","2,238.00","1,100.50","10.92","65.76"
"LUPIN","2,350.00","2,426.50","2,343.60","2,343.50","2,400.60","-","57.1","2.44","2044185","489.94","2,494.00","1,836.80","6.24","24.5"
"NAM-INDIA","1,129.50","1,172.30","1,129.50","1,139.00","1,166.50","-","27.5","2.41","1441770","167.00","1,194.00","772.15","6.1","48.94"
"MAXHEALTH","1,125.00","1,159.00","1,117.45","1,123.35","1,150.00","-","26.65","2.37","4106274","471.29","1,314.30","903.00","19.15","-10.11"
"IDEA","14.10","14.51","13.83","14.06","14.38","-","0.32","2.28","1039440837","1,484.32","15.34","6.12","3.15","95.53"
"DRREDDY","1,388.40","1,414.90","1,355.80","1,350.50","1,381.00","-","30.5","2.26","8857211","1,232.57","1,414.90","1,148.40","5.54","5.74"
"SOLARINDS","17,429.00","17,901.00","17,274.00","17,428.00","17,801.00","-","373","2.14","430870","763.66","18,874.00","11,646.00","-2.46","1.8"
"POWERINDIA","34,005.00","35,360.00","33,120.00","33,965.00","34,685.00","-","720","2.12","413158","1,428.61","38,785.00","16,111.00","-9.03","75.38"
"LICI","421.00","432.35","421.00","423.35","431.80","-","8.45","2","4278076","183.16","490.00","360.75","4.84","-54.97"
"ZYDUSLIFE","1,104.70","1,125.30","1,099.00","1,101.40","1,123.00","-","21.6","1.96","1976891","221.07","1,126.00","835.50","4.05","14.21"
"JSWENERGY","573.45","592.00","570.05","573.50","584.40","-","10.9","1.9","5001790","291.40","617.35","427.75","-1.48","12.2"
"CGPOWER","960.10","965.35","936.30","942.10","960.00","-","17.9","1.9","12311661","1,172.67","969.90","525.50","4.23","42.26"
"SAIL","170.79","176.89","170.40","170.79","174.00","-","3.21","1.88","53065147","926.78","209.70","118.10","-14.26","33.05"
"COALINDIA","435.65","447.90","435.25","435.40","442.90","-","7.5","1.72","21400224","948.99","491.25","368.65","-2.85","12.86"
"MARICO","824.60","844.65","824.60","825.80","840.00","-","14.2","1.72","7194690","603.50","848.80","690.20","2.22","14.8"
"OIL","408.75","414.00","407.00","406.80","413.50","-","6.7","1.65","6049429","248.84","531.00","384.60","-13.32","-4.76"
"LICHSGFIN","551.00","562.65","544.10","549.85","558.80","-","8.95","1.63","5408871","300.61","646.50","458.90","5.18","-8.47"
"ETERNAL","260.00","261.30","257.05","255.15","259.15","-","4","1.57","34568988","895.82","368.45","212.60","3.52","-0.94"
"BEL","406.80","418.30","403.55","407.20","413.50","-","6.3","1.55","26669735","1,091.94","473.45","361.20","0.21","-0.7"
"TRENT","3,225.30","3,312.00","3,225.30","3,216.20","3,265.50","-","49.3","1.53","2676532","876.51","4,174.00","2,183.67","-22.86","-45.87"
"JINDALSTEL","1,059.60","1,081.30","1,056.60","1,059.50","1,074.50","-","15","1.42","1129001","121.12","1,306.20","914.60","-11.52","13.71"
"HINDZINC","518.05","528.85","518.05","518.05","525.10","-","7.05","1.36","3491577","182.91","733.00","413.50","-16.98","16.48"
"GMRAIRPORT","108.44","111.59","108.44","108.44","109.85","-","1.41","1.3","70291664","771.24","111.59","82.96","9.02","29.09"
"PHOENIXLTD","1,894.00","1,930.00","1,890.00","1,904.60","1,929.00","-","24.4","1.28","519913","99.15","1,993.00","1,402.50","7.95","21.74"
"GLENMARK","2,169.90","2,216.30","2,158.10","2,154.40","2,181.00","-","26.6","1.23","1414518","310.15","2,474.00","1,680.40","-3.88","27.78"
"DMART","4,290.10","4,385.00","4,277.70","4,294.60","4,347.10","-","52.5","1.22","722211","314.09","4,949.50","3,529.00","7.46","1.01"
"NUVAMA","1,731.10","1,787.30","1,731.10","1,748.60","1,769.20","-","20.6","1.18","532376","94.32","1,787.30","1,096.90","13.93","-78.63"
"POWERGRID","287.00","287.65","283.50","283.90","287.00","-","3.1","1.09","16957025","485.50","324.95","250.00","-1.48","-4.34"
"SBILIFE","1,759.60","1,772.70","1,736.90","1,744.90","1,763.90","-","19","1.09","3910884","685.32","2,132.00","1,700.40","-4.08","-5.14"
"HINDALCO","952.10","973.50","952.00","953.20","963.00","-","9.8","1.03","9499504","917.07","1,176.00","657.50","-14.46","38.21"
"NAUKRI","988.75","997.50","983.45","978.85","988.35","-","9.5","0.97","1396899","138.15","1,537.20","908.30","-0.82","-34.57"
"NYKAA","301.30","308.00","300.15","301.35","304.20","-","2.85","0.95","28633369","865.90","309.75","197.62","15.15","43.93"
"MANKIND","2,462.80","2,527.90","2,457.20","2,462.30","2,485.40","-","23.1","0.94","437926","109.56","2,716.50","1,909.70","4.65","6.54"
"FORTIS","954.35","966.80","935.60","954.80","963.70","-","8.9","0.93","7667314","727.45","1,104.30","757.15","2.36","21.22"
"RADICO","3,841.80","3,914.60","3,786.00","3,829.80","3,865.00","-","35.2","0.92","760918","293.53","3,914.60","2,500.00","10.18","49.76"
"NTPC","352.00","357.90","351.55","352.05","355.00","-","2.95","0.84","49895302","1,775.62","414.40","315.55","-7.96","5.26"
"APOLLOHOSP","8,700.00","8,734.00","8,605.00","8,592.00","8,664.50","-","72.5","0.84","363592","315.41","8,734.00","6,696.50","5.85","18.42"
"YESBANK","24.87","25.38","24.82","24.87","25.08","-","0.21","0.84","183936840","463.15","25.78","17.20","8.38","24.33"
"ABB","7,000.00","7,268.00","6,886.50","6,993.00","7,047.50","-","54.5","0.78","915384","648.83","7,822.50","4,637.50","-1.72","17.44"
"POLICYBZR","1,621.70","1,658.00","1,588.30","1,615.20","1,627.60","-","12.4","0.77","2643196","431.99","1,974.00","1,364.00","-4.66","-10.81"
"BAJFINANCE","975.30","992.30","975.30","980.40","987.95","-","7.55","0.77","19875760","1,955.22","1,102.50","787.90","8.13","3.7"
"PAYTM","1,130.10","1,144.00","1,116.40","1,124.80","1,132.90","-","8.1","0.72","7867109","889.33","1,381.80","889.10","1.28","23.25"
"SAMMAANCAP","170.00","171.00","166.50","169.81","171.00","-","1.19","0.7","18299847","307.07","192.95","114.10","-5.29","19.16"
"CIPLA","1,443.70","1,490.10","1,441.50","1,440.10","1,450.00","-","9.9","0.69","4162869","611.47","1,673.00","1,165.70","3.79","-3.21"
"TATASTEEL","188.73","191.27","188.60","188.71","189.90","-","1.19","0.63","62549132","1,186.99","224.40","152.51","-8.87","17.42"
"BLUESTARCO","1,637.20","1,653.80","1,626.00","1,637.20","1,647.00","-","9.8","0.6","256970","42.12","2,040.00","1,450.00","2.93","0.71"
"OBEROIRLTY","1,751.00","1,779.00","1,739.30","1,749.20","1,758.80","-","9.6","0.55","576931","101.62","2,005.00","1,391.20","2.75","-8.58"
"SUNPHARMA","1,876.80","1,897.10","1,855.90","1,862.80","1,873.00","-","10.2","0.55","1655869","311.59","1,916.60","1,548.00","4.2","11.09"
"NMDC","85.00","85.69","84.31","84.94","85.40","-","0.46","0.54","43129313","367.25","97.49","67.00","-2.89","22.23"
"LTF","299.00","307.70","297.50","299.00","300.60","-","1.6","0.54","27064147","812.52","329.45","194.40","4.34","47.3"
"DABUR","425.35","430.80","424.25","423.90","426.05","-","2.15","0.51","1842565","78.66","577.00","403.35","-3.86","-12.35"
"COFORGE","1,493.40","1,523.60","1,482.50","1,492.90","1,500.00","-","7.1","0.48","6361979","953.48","1,994.00","1,008.10","4.9","-21.48"
"SUZLON","58.00","58.00","56.93","57.14","57.40","-","0.26","0.46","68862375","394.31","68.30","38.19","0.39","-15.02"
"ONGC","234.00","237.15","229.70","233.10","234.10","-","1","0.43","38227413","894.75","307.50","228.61","-11.81","-3.62"
"360ONE","1,079.80","1,097.00","1,069.00","1,085.40","1,090.00","-","4.6","0.42","701139","76.36","1,273.80","906.05","-1.33","-8.86"
"MOTILALOFS","946.15","968.20","943.00","946.15","950.05","-","3.9","0.41","1101518","105.25","1,097.10","614.90","7.75","10.92"
"ASIANPAINT","2,631.30","2,687.80","2,630.00","2,645.20","2,655.00","-","9.8","0.37","4752587","1,262.48","2,985.70","2,115.00","-0.55","12.64"
"CONCOR","468.65","474.20","465.45","469.80","471.50","-","1.7","0.36","1503227","70.81","629.20","421.45","1.59","-37.73"
"FEDERALBNK","323.00","327.00","322.15","324.05","325.20","-","1.15","0.35","15193838","493.07","327.00","185.11","12.15","55.5"
"ITC","290.45","291.90","289.35","290.00","291.00","-","1","0.34","10110022","293.89","427.00","275.05","1.32","-30.56"
"WIPRO","176.28","176.69","174.60","175.00","175.60","-","0.6","0.34","24484011","429.62","273.10","171.49","-14.09","-33.79"
"MUTHOOTFIN","3,026.00","3,050.00","2,968.50","3,025.60","3,036.00","-","10.4","0.34","4360814","1,312.82","4,149.50","2,476.60","-9.62","17.52"
"SHRIRAMFIN","1,036.95","1,055.40","1,029.75","1,031.80","1,034.70","-","2.9","0.28","11369236","1,185.46","1,108.00","566.50","9.03","47.53"
"HCLTECH","1,095.60","1,108.30","1,086.00","1,100.70","1,103.60","-","2.9","0.26","5186504","569.44","1,780.10","1,086.00","-6.88","-36.03"
"TITAN","4,285.00","4,316.30","4,266.60","4,291.30","4,300.00","-","8.7","0.2","569087","243.86","4,605.00","3,303.10","4.96","16.67"
"BAJAJHLDNG","10,599.00","10,692.00","10,555.00","10,599.00","10,619.00","-","20","0.19","52336","55.62","14,763.00","8,588.00","2.23","-25.06"
"PIDILITIND","1,597.70","1,620.70","1,595.00","1,597.00","1,599.90","-","2.9","0.18","1536107","246.53","1,620.70","1,259.00","7.88","-47.58"
"INDUSTOWER","394.90","396.60","386.35","393.55","394.20","-","0.65","0.17","4638379","181.62","481.50","312.55","-10.72","-4.26"
"IEX","124.86","125.50","123.40","125.00","125.20","-","0.2","0.16","12936308","160.91","211.75","114.60","-2.73","-34.06"
"COLPAL","1,993.00","2,029.00","1,990.00","1,993.00","1,995.90","-","2.9","0.15","551311","110.88","2,504.00","1,782.00","-2.95","-15.98"
"BANDHANBNK","203.92","205.30","197.74","201.76","202.04","-","0.28","0.14","13593508","274.10","218.13","134.25","-2.87","9.01"
"BAJAJFINSV","1,764.60","1,787.00","1,755.10","1,764.60","1,767.00","-","2.4","0.14","1565424","276.03","2,195.00","1,597.00","-1.36","-13.93"
"DELHIVERY","461.20","475.20","461.00","464.80","465.45","-","0.65","0.14","4910049","229.06","491.70","374.45","2.48","21.14"
"IREDA","126.90","128.25","126.10","127.47","127.65","-","0.18","0.14","5490770","69.83","174.60","108.65","-4.32","-24.78"
"TECHM","1,439.70","1,453.90","1,428.60","1,437.10","1,438.90","-","1.8","0.13","2466821","354.98","1,854.00","1,304.10","-3.38","-14.37"
"RECLTD","365.55","367.95","363.00","364.65","365.00","-","0.35","0.1","10623804","388.12","409.80","304.05","8.09","-9.42"
"KFINTECH","874.15","887.60","867.00","874.15","875.00","-","0.85","0.1","1084225","94.95","1,388.50","784.95","1.35","-35.44"
"AUBANK","1,033.90","1,039.00","1,015.55","1,033.85","1,034.80","-","0.95","0.09","10215789","1,050.45","1,079.55","682.15","4.65","27.37"
"HDFCBANK","800.00","805.90","793.30","796.30","797.05","-","0.75","0.09","46695977","3,732.36","1,020.50","726.65","7.3","-60.35"
"KALYANKJIL","377.80","381.50","372.65","377.80","378.10","-","0.3","0.08","5922391","223.11","617.70","327.05","6.42","-30.64"
"AMBUJACEM","421.55","427.25","420.35","423.75","424.10","-","0.35","0.08","2985056","126.51","624.95","394.00","-5.27","-26.21"
"UNIONBANK","175.00","175.90","172.13","174.71","174.80","-","0.09","0.05","16043533","279.80","205.49","124.64","3.98","17.11"
"ICICIBANK","1,390.00","1,402.00","1,383.20","1,387.50","1,388.00","-","0.5","0.04","13249405","1,840.75","1,500.00","1,187.60","10.44","-5.1"
"JSWSTEEL","1,239.00","1,250.70","1,226.60","1,231.00","1,231.40","-","0.4","0.03","2091046","258.54","1,328.00","1,008.00","-3.57","19.78"
"BSE","3,878.00","3,971.60","3,850.00","3,872.10","3,872.00","-","-0.1","0","4082559","1,590.58","4,446.80","2,021.50","-6.9","39.07"
"MFSL","1,619.40","1,638.20","1,563.90","1,611.40","1,611.20","-","-0.2","-0.01","4724470","754.67","1,892.50","1,433.60","-4.33","-2.41"
"PATANJALI","413.45","414.50","407.50","412.55","412.45","-","-0.1","-0.02","4242453","174.20","653.93","407.50","-9.56","-74.96"
"SONACOMS","619.25","629.95","609.40","619.25","619.10","-","-0.15","-0.02","3941395","243.66","632.20","402.30","2.19","29.53"
"TCS","2,090.00","2,105.00","2,071.00","2,094.70","2,094.00","-","-0.7","-0.03","3412470","713.05","3,489.90","2,055.00","-7.13","-39.03"
"PNBHOUSING","1,038.90","1,061.10","1,024.30","1,044.80","1,043.90","-","-0.9","-0.09","996558","103.23","1,136.00","729.60","0.34","-6.6"
"VOLTAS","1,303.20","1,306.80","1,280.40","1,302.40","1,301.00","-","-1.4","-0.11","783912","101.30","1,582.50","1,186.80","4.02","-0.73"
"ALKEM","5,429.00","5,530.00","5,394.50","5,425.00","5,417.50","-","-7.5","-0.14","193434","105.34","5,933.50","4,716.20","-1.48","10.39"
"APLAPOLLO","1,799.90","1,809.10","1,779.90","1,793.50","1,789.90","-","-3.6","-0.2","520386","93.21","2,301.40","1,492.00","-2.38","1.8"
"BHARTIARTL","1,837.10","1,849.80","1,833.10","1,850.70","1,846.00","-","-4.7","-0.25","10940130","2,013.59","2,174.50","1,740.50","0.66","-9.18"
"HDFCLIFE","584.45","587.45","579.10","585.45","583.70","-","-1.75","-0.3","4808121","280.47","820.75","543.00","-1.94","-27.72"
"BIOCON","416.80","421.80","413.50","416.15","414.80","-","-1.35","-0.32","3282287","137.00","440.40","331.00","-3.13","17.17"
"GAIL","172.85","173.88","170.01","172.85","172.23","-","-0.62","-0.36","5931749","102.12","195.45","134.36","4.69","-9.84"
"HAL","4,368.00","4,378.20","4,269.90","4,368.70","4,351.00","-","-17.7","-0.41","901086","389.49","5,065.00","3,479.10","0.91","-11.33"
"PETRONET","282.25","285.00","280.10","282.25","281.00","-","-1.25","-0.44","2362234","66.54","326.40","235.35","3.76","-6.99"
"MAZDOCK","2,465.00","2,518.00","2,436.50","2,472.50","2,460.00","-","-12.5","-0.51","1322910","326.63","3,369.00","2,057.40","-0.39","-22.91"
"BOSCHLTD","40,630.00","41,030.00","39,505.00","40,440.00","40,225.00","-","-215","-0.53","175135","700.77","41,945.00","28,610.00","8.9","23.64"
