"Symbol","Open Interest","Open Interest","chng in OI","%chng in OI","Volume","Futures Value","Options Value","Total Value","Underlying value"
"PERSISTENT",146799,71165,75634,106.28,565564,312413.45365,35117.49005,347530.9437,4292
"ASTRAL",42030,26220,15810,60.3,144742,125335.89932,8031.13813,133367.03745,1370
"FINNIFTY",52100,37071,15029,40.54,535457,5607.17482,18969.21958,24576.39441,26598
"SUPREMEIND",29674,21799,7875,36.13,57139,68993.33281,2275.31204,71268.64486,3193
"ABCAPITAL",31368,23371,7997,34.22,35598,139564.12939,2985.58799,142549.71738,387
"MFSL",36407,27761,8646,31.14,35549,140962.86164,557.49172,141520.35336,1611
"SAIL",63529,48445,15084,31.14,61300,402355.91881,2099.84344,404455.76225,174
"NIFTY",10048900,7813211,2235689,28.61,143704066,2522123.68027,5416143.41521,7938267.09548,23946
"ONGC",153498,119850,33648,28.08,159780,212055.15127,9075.35655,221130.50782,234
"NESTLEIND",48534,38029,10505,27.62,46866,149025.7729,1891.22285,150916.99575,1390
"NIFTYNXT50",2576,2023,553,27.34,4732,9079.25571,174.24493,9253.50064,71510
"TVSMOTOR",119244,93840,25404,27.07,129381,289794.00945,3626.17288,293420.18233,3479
"HDFCAMC",38464,30319,8145,26.86,27224,113257.14063,873.43869,114130.57932,2609
"DRREDDY",63644,50314,13330,26.49,220495,215380.155,15388.06275,230768.21775,1381
"BHARATFORG",38779,30733,8046,26.18,59371,273177.38005,3041.382,276218.76205,2199
"KEI",24915,19760,5155,26.09,64330,151670.82071,2080.3258,153751.14651,5475
"NYKAA",38216,30654,7562,24.67,28913,176779.235,953.42,177732.655,304
"KOTAKBANK",161173,129350,31823,24.6,137892,495189.3328,5481.1556,500670.4884,397
"PHOENIXLTD",21231,17077,4154,24.33,14281,59362.89464,178.55159,59541.44623,1929
"AUBANK",49329,39807,9522,23.92,44180,233303.9237,2030.1523,235334.076,1034
"BHARTIARTL",240245,194081,46164,23.79,199210,775097.17964,4891.32508,779988.50473,1846
"MAXHEALTH",52707,42597,10110,23.73,112191,117526.86844,4795.10792,122321.97636,1150
"EICHERMOT",95223,77017,18206,23.64,128790,275170.739,5900.22684,281070.96584,7510
"FORTIS",24804,20074,4730,23.56,27347,110122.95369,634.70035,110757.65405,963
"CANBK",98567,80418,18149,22.57,67543,354144.9681,3333.0447,357478.0128,126
"MCX",91442,74915,16527,22.06,158287,358176.73048,15374.0472,373550.77768,2905
"UPL",46938,38568,8370,21.7,41288,156805.98477,2457.97731,159263.96208,574
"GRASIM",82310,67734,14576,21.52,47039,253987.6695,675.50495,254663.17445,3110
"SUNPHARMA",137853,114064,23789,20.86,130175,257217.85547,2892.62197,260110.47744,1873
